"","AI_trustworthy_chr","task_difficulty_chr","AI_help_count","Feedback","StartDate","Duration (in seconds)","Finished","ResponseId","PROLIFIC_PID","mTurkCode","year_born","gender_chr","education_chr","Group","Consent1_chr","Consent2_chr","Attn_check1_chr","Attn_check2_chr","sea_slug_resp","swimming_trunks_resp","megalith_resp","brown_bear_resp","nails_resp","chickpea_resp","goblet_resp","monitor_resp","spider_monkey_resp","gazania_resp","marimba_resp","football_helmet_resp","madagascar_cat_resp","shrimp_resp","mite_resp","nightsnake_resp","basenji_resp","vacuum_resp","cherry_resp","ruffed_grouse_resp","metronome_resp","envelope_resp","logwood_resp","fragrant_orchid_resp","howler_monkey_resp","sea_slug_conf","swimming_trunks_conf","megalith_conf","brown_bear_conf","nails_conf","chickpea_conf","goblet_conf","monitor_conf","spider_monkey_conf","gazania_conf","marimba_conf","football_helmet_conf","madagascar_cat_conf","shrimp_conf","mite_conf","nightsnake_conf","basenji_conf","vacuum_conf","cherry_conf","ruffed_grouse_conf","metronome_conf","envelope_conf","logwood_conf","fragrant_orchid_conf","sea_slug_time","swimming_trunks_time","megalith_time","brown_bear_time","nails_time","chickpea_time","goblet_time","monitor_time","spider_monkey_time","gazania_time","marimba_time","football_helmet_time","madagascar_cat_time","shrimp_time","mite_time","nightsnake_time","basenji_time","vacuum_time","cherry_time","ruffed_grouse_time","metronome_time","envelope_time","logwood_time","fragrant_orchid_time","age","college","male_num","AI_trustworthy_in_num","Task_difficulty_in_num","AI_help_percent","One_AI_bar","One_AI_nobar","Five_AI_bar","Five_AI_nobar","Five_AI_ABC","Control","AI","One_AI","Five_AI","bar","nobar","sea_slug","swimming_trunks","megalith","brown_bear","nail","chickpea","goblet","monitor","spider_monkey","gazania","marimba","football_helmet","madagascar_cat","shrimp","mite","night_snake","basenji","vacuum","cherry","ruffed_grouse","metronome","envelope","logwood","fragrant_orchid","howler_monkey","attn_check1_num","attn_check2_num","attn_check3_num","attn_check_sum","attn_check","avg_conf","avg_time_spent_per_Q","sea_slug_exact_match","swimming_trunks_exact_match","megalith_exact_match","brown_bear_exact_match","nail_exact_match","chickpea_exact_match","goblet_exact_match","monitor_exact_match","spider_monkey_exact_match","gazania_exact_match","marimba_exact_match","football_helmet_exact_match","madagascar_cat_exact_match","shrimp_exact_match","mite_exact_match","night_snake_exact_match","basenji_exact_match","vacuum_exact_match","cherry_exact_match","ruffed_grouse_exact_match","metronome_exact_match","envelope_exact_match","logwood_exact_match","fragrant_orchid_exact_match","sea_slug_synonym","swimming_trunks_synonym","megalith_synonym","brown_bear_synonym","nail_synonym","chickpea_synonym","goblet_synonym","monitor_synonym","spider_monkey_synonym","gazania_synonym","marimba_synonym","football_helmet_synonym","madagascar_cat_synonym","shrimp_synonym","mite_synonym","night_snake_synonym","basenji_synonym","vacuum_synonym","cherry_synonym","ruffed_grouse_synonym","metronome_synonym","envelope_synonym","logwood_synonym","fragrant_orchid_synonym","sea_slug_present","swimming_trunks_present","megalith_present","brown_bear_present","nail_present","chickpea_present","goblet_present","monitor_present","spider_monkey_present","gazania_present","marimba_present","football_helmet_present","madagascar_cat_present","shrimp_present","mite_present","night_snake_present","basenji_present","vacuum_present","cherry_present","ruffed_grouse_present","metronome_present","envelope_present","logwood_present","fragrant_orchid_present","sea_slug_category","swimming_trunks_category","megalith_category","brown_bear_category","nail_category","chickpea_category","goblet_category","monitor_category","spider_monkey_category","gazania_category","marimba_category","football_helmet_category","madagascar_cat_category","shrimp_category","mite_category","night_snake_category","basenji_category","vacuum_category","cherry_category","ruffed_grouse_category","metronome_category","envelope_category","logwood_category","fragrant_orchid_category","exact_match_answers_sum","synonym_answers_sum","present_answers_sum","category_answers_sum","exact_match_answers_as_percent","synonym_answers_as_percent","present_answers_as_percent","category_answers_as_percent"
"150","Somewhat trustworthy","Somewhat easy",22,NA,2020-05-12 13:31:04,"584","True","R_1FriqlZhiYCRxJS","5cd1836da6f34300017e240c","304819",2001,"Female","Some college","5AI_ABC","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","cliff","brown bear","nail","chickpea","goblet","desktop computer","spider monkey","american daisy","thimble","football helmet","squirrel monkey","shrimp","mite","hognose snake","corgi","flash memory","dalmatian","pheasant","cello","envelope","tent","phaius","howler monkey",0.8,0.8,0.8,1,1,1,1,1,0.8,0.8,1,1,0.6,1,1,0.6,0.6,0.8,1,0.6,0.4,1,1,0.4,26.675,11.926,25.384,11.501,16.328,21.469,15.702,8.666,38.043,10.229,14.133,25.499,14.237,16.085,11.848,19.131,37.123,15.643,7.707,25.17,12.526,16.857,9.387,34.747,19,0,0,4,2,0.88,0,0,0,0,1,0,1,0,1,0,1,"correct","correct","category","correct","correct","correct","correct","synonym","correct","category","category","correct","category","correct","correct","wrong","wrong","wrong","present","wrong","wrong","correct","present","wrong","correct",1,1,1,3,1,0.833333333333333,18.584,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,11,12,14,18,0.458333333333333,0.5,0.583333333333333,0.75
"151","Somewhat untrustworthy","Somewhat difficult",7,NA,2020-05-12 13:33:18,"450","True","R_pQRdjnAO1u5CfaF","5e42d9f8f733921720b2fa7c","35903",1987,"Female","4 year degree","5AI_bar","Yes","Yes","Howler Monkey","Be Specific","coral","swimming trunks","cliff","brown bear","nail","chickpea","goblet","desktop computer","spider monkey","gazania","thimble","football helmet","lemur","shrimp","mite","hognose snake","basenji","hand blower","dalmatian","ruffled grouse","metronome","envelope","tent","coelogyne","howler monkey",0.4,0.8,0.8,1,1,0.6,0.8,1,0.4,0.4,0.4,0.8,0.8,0.8,0.6,0.6,0.4,0.2,0.8,0.4,0.8,0.8,0.8,0.2,19.362,8.801,10.43,7.33,7.317,13.023,12.03,14.361,10.211,12.412,19.256,9.315,16.396,9.763,10.972,14.12,11.965,18.754,13.931,18.935,13.924,10.369,7.11,10.88,33,1,0,2,4,0.28,0,0,1,0,0,0,1,0,1,1,0,"synonym","correct","category","correct","correct","correct","correct","synonym","correct","correct","category","correct","synonym","correct","correct","wrong","correct","wrong","present","correct","correct","correct","present","synonym","correct",1,1,1,3,1,0.65,12.5402916666667,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,14,18,20,22,0.583333333333333,0.75,0.833333333333333,0.916666666666667
"152",NA,"Somewhat difficult",NA,NA,2020-05-12 13:29:37,"674","True","R_2Yh4YPNFRyxCutb","5ccc13ed1cd40c0018c66e39","789277",1974,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific","sea anenome on coral","mens swimming trunks and legs","neolithic stones on hillside with man","two brown bears","row of matching nails","chickpea and bean salad","blue drinking glass","old pc monitor","howler monkey","yellow flower","glockenspiel and beaters","signed american football helmet","lemur","fried shrimp with past","red insect","python","tan and white dog with curled tail","computer keyboard cleaner","dalmation with cherries","partridge","metronome in front of picture of a heart","christmas decorations on a card","camp ground with volley ball net","white flowers","howler monkey",0.2,0.8,0.8,0.8,1,0.4,0.6,1,0,1,0.8,1,0.8,0.2,0.8,0.2,1,0,1,0,1,0.8,1,0.6,22.401,20.232,16.68,14.4,14.539,20.474,13.37,12.323,23.546,21.934,24.365,21.205,9.754,28.133,21.489,29.215,21.37,76.777,19.541,19.157,22.785,38.502,41.132,15.433,46,1,0,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,"synonym","correct","synonym","correct","correct","correct","category","correct","wrong","present","category","correct","synonym","correct","category","wrong","category","synonym","correct","wrong",NA,"category","present","present","correct",1,1,1,3,1,0.658333333333333,23.6982083333333,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,NA,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,NA,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,NA,1,1,1,8,12,15,20,0.333333333333333,0.5,0.625,0.833333333333333
"153","Somewhat untrustworthy","Somewhat easy",13,NA,2020-05-12 13:33:04,"468","True","R_2TTTf6W08xDfE2T","5eb6d97302d33d5dd9628665","429868",1998,"Male","4 year degree","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific","coral reef","swimming trunks","megalith","brown bear","nail","cauliflower","goblet","desktop computer","spider monkey","sunflower","thimble","football helmet","squirrel monkey","shrimp","mite","loggerhead","chihuahua","hand blower","dalmation","pheasant","pencil sharpener","envelope","tent","cymbid","howler monkey",0.4,1,1,1,1,0.8,0.8,1,0.8,1,0.8,1,0.6,1,0.8,0.6,0.8,0.6,1,0.4,1,0.8,1,0.2,16.377,8.882,30.463,7.739,5.367,12.853,9.268,11.869,8.121,13.307,15.1,8.602,13.251,6.007,10.064,13.05,11.51,24.092,15.973,18.322,29.956,14.66,6.501,14.049,22,1,1,2,2,0.52,0,0,0,1,0,0,1,0,1,0,1,"category","correct","correct","correct","correct","wrong","correct","synonym","correct","synonym","category","correct","category","correct","correct","wrong","wrong","wrong","present","wrong","wrong","correct","present","wrong","correct",1,1,1,3,1,0.808333333333333,13.557625,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,10,12,14,17,0.416666666666667,0.5,0.583333333333333,0.708333333333333
"154",NA,"Somewhat easy",NA,NA,2020-05-12 13:19:34,"1280","True","R_pcSQR6Bz7ORnL8J","5ea97eb88da36307bbc81c0b","795303",1998,"Male","Some college","Control","Yes","Yes","Howler Monkey","Be Specific","nudibranch","man's legs","rocky hill","brown bear","nails","jambalaya","blue chalice","crt computer monitor","spider monkey","sunflower","ball of twine","football helmet","ring-tailed lemur","fried shrimp and noodles","red velvet mite","diamondback rattlesnake","basenji","electric hair brush","dalmatian","partridge","metronome","paper snowflakes","tents","white orchids","howler monkey",1,1,0.8,1,1,0.6,1,1,0.8,1,0.8,1,1,0.8,0.8,1,1,0.2,1,1,1,0.6,1,1,11.687,13.787,23.634,10.439,23.534,44.849,11.801,32.23,110.501,32.966,16.535,11.562,10.926,22.073,30.785,44.277,51.987,45.622,14.305,28.164,6.747,22.287,10.89,31.088,22,0,1,NA,2,NA,0,0,0,0,0,1,0,0,0,0,0,"wrong","present","category","correct","correct","wrong","synonym","correct","correct","synonym","wrong","correct","synonym","correct","correct","wrong","correct","wrong","present","wrong","correct","category","present","correct","correct",1,1,1,3,1,0.891666666666667,27.6115,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,10,13,16,18,0.416666666666667,0.541666666666667,0.666666666666667,0.75
"155","Somewhat trustworthy","Somewhat easy",12,NA,2020-05-12 13:32:07,"531","True","R_22Eu9Ctv2dOMoi3","5e57ee0c3e50e9000cf0c9c8","843338",1989,"Male","Some college","1AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming shorts","megalith","brown bear","nails","chickpea","goblet","computer screen","howler monkey","ganzania","ball of thread","nfl helmet","ring tailed lemur","shrimp","little red bug","hognose snake","basenji","ax","dalmation","partridge","clock","handkerchief","tents","white flower","howler monkey",0.2,0.8,0.4,1,1,0.2,1,1,0.8,0,0.8,1,1,1,0.4,0.4,0.2,0,1,0.4,0,0.2,0.8,0.4,12.302,11.684,11.204,12.289,8.688,10.538,10.079,12.148,10.959,8.487,17.311,29.501,15.749,13.732,12.751,21.425,10.143,16.928,10.125,12.098,17.896,19.855,8.74,31.714,31,0,1,4,2,0.48,1,0,0,0,0,0,1,1,0,1,0,"correct","correct","correct","correct","correct","correct","correct","synonym","wrong","correct","wrong","correct","synonym","correct","category","wrong","correct","wrong","present","wrong","wrong","wrong","present","category","correct",1,1,1,3,1,0.583333333333333,14.4310833333333,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,11,13,15,17,0.458333333333333,0.541666666666667,0.625,0.708333333333333
"156","Somewhat untrustworthy","Extremely easy",5,NA,2020-05-12 13:35:02,"358","True","R_3n1NRTw6tSNCVnr","5c52bfa7d3cc6b0001d9352e","828699",1994,"Male","High School","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","stone monuments","brown bears","nails","chickpea","blue goblet","computer monitor","howler monkey","sunflower","twine","signed dallas cowboys football helmet","ring-tailed lemur","fried shrimp","dust mite","hognose snake","dog","usb charger","dalmatian behind cherries","patridge","metronome in front of heart","decorative envelope","campsite","vanilla","howler monkey",0.4,1,0.8,1,1,0.6,1,1,0.8,0.6,0.8,1,0.8,0.4,0.8,0.4,0.2,0.2,1,0.8,1,0.8,1,0.2,7.006,6.882,10.259,5.708,4.155,9.638,11.81,6.528,6.697,4.868,11.536,23.371,12.265,15.983,14.505,8.068,11.207,17.687,13.4,6.332,10.462,10.715,9.374,9.535,26,0,1,2,1,0.2,0,1,0,0,0,0,1,1,0,0,1,"correct","correct","category","correct","correct","correct","correct","correct","wrong","synonym","wrong","correct","synonym","correct","correct","wrong","category","wrong","correct","wrong","correct","correct","present","wrong","correct",1,1,1,3,1,0.733333333333333,10.3329583333333,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,13,15,16,18,0.541666666666667,0.625,0.666666666666667,0.75
"157","Somewhat trustworthy","Somewhat difficult",4,NA,2020-05-12 13:35:48,"330","True","R_bryTAD4PkSuLYm5","5cf272137e2e1400157f2b3b","759279",1999,"Female","Some college","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","white bear","nail","chickpea","goblet","computer","howler monkey","sunflower","xylophone","crash helmet","squirrel monkey","shrimp","mite","hognose snake","basenji","shaver","dalmation","partridge","metronome","envelope","yurt","orchid","howler monkey",0.6,0.8,0.4,0.4,1,0.4,0.8,0.8,0.2,0.4,0.8,0.6,0.4,0.4,0.6,0.4,0.2,0.2,0.8,0.6,0.6,0.2,0.2,0.4,5.829,7.28,6.207,13.298,4.425,7.085,4.737,5.573,6.729,8.271,12.352,5.8,15.834,4.493,7.491,18.089,6.301,12.738,5.706,6.849,11.746,24.123,5.766,7.02,21,0,0,4,4,0.16,0,1,0,0,0,0,1,1,0,0,1,"correct","correct","correct","wrong","correct","correct","correct","synonym","wrong","synonym","category","wrong","category","correct","correct","wrong","correct","wrong","present","wrong","correct","correct","wrong","category","correct",1,1,1,3,1,0.508333333333333,8.90591666666667,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,11,13,14,17,0.458333333333333,0.541666666666667,0.583333333333333,0.708333333333333
"158",NA,"Somewhat difficult",NA,NA,2020-05-12 13:32:04,"562","True","R_31RxQk0fIjbmgQP","5eac04e9d264d52080b2bbec","974192",1988,"Female","4 year degree","Control","Yes","Yes","Howler Monkey","Be Specific","squid","floral board shorts","stone henge","grizzly bear","4.5 nails","mixed bean salad","crystal vase","desktop pc monitor","howler monkey","gerbera","glockenspiel","american football helmet","lemur","tempura prawns","red spider","boa constrictor","a mixed dog breed","usb trimmer","dalmatian","guinea fowl","metronome","decorated cardboard file","campsite","orchid","howler monkey",0.4,0.8,0.4,0.4,1,0.6,0.8,1,0.4,0.6,1,0.6,0.8,0.6,0.4,0.6,0.4,0.2,1,0.4,0.8,0.6,1,0.2,14.278,10.592,11.59,16.903,15.413,18.6,36.227,15.018,14.5,9.112,15.893,14.336,10.847,16.547,9.733,9.482,34.537,36.601,11.31,8.757,8.891,20.231,11.815,46.007,32,1,0,NA,4,NA,0,0,0,0,0,1,0,0,0,0,0,"wrong","synonym","wrong","synonym","correct","category","category","correct","wrong","category","category","correct","synonym","category","wrong","wrong","category","wrong","present","wrong","correct","wrong","present","category","correct",1,1,1,3,1,0.625,17.3841666666667,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,4,7,9,16,0.166666666666667,0.291666666666667,0.375,0.666666666666667
"159","Somewhat trustworthy","Somewhat easy",10,"No comments",2020-05-12 13:31:22,"608","True","R_2f0uiUjai1A8k8v","5e530e6150ee4031b4fbb27a","781131",1979,"Male","4 year degree","1AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","monitor","howler monkey","gazania","thread","american football helmet","squirrel monkey","shrimp","mite","hognose snake","basenji","in-car charger","dalmatian","partridge","metronome","snowflake stickers","tent","coelogyne","howler monkey",0.6,0.8,1,0.8,1,0.6,1,1,0.8,1,0.6,0.8,0.8,0.8,1,0.6,1,0.6,1,0.8,0.2,0.8,0.8,0.6,11.099,15.127,25.035,22.971,8.434,15.258,6.322,7.715,10.1,24.55,18.877,28.975,9.238,15.417,9.52,24.307,10.379,34.623,8.342,24.055,37.295,26.045,27.551,28.173,41,1,1,4,2,0.4,0,1,0,0,0,0,1,1,0,0,1,"correct","correct","correct","correct","correct","correct","correct","correct","wrong","correct","wrong","correct","category","correct","correct","wrong","correct","wrong","present","wrong","correct","category","present","synonym","correct",1,1,1,3,1,0.791666666666667,18.7253333333333,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,14,15,17,19,0.583333333333333,0.625,0.708333333333333,0.791666666666667
"160","Somewhat trustworthy","Somewhat easy",10,NA,2020-05-12 13:35:49,"353","True","R_1odtLbEgj1PsoW8","5aeaeef326e9c60001fbd22b","484500",1989,"Female","4 year degree","5AI_bar","Yes","Yes","Spider Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","desktop computer","spider monkey","sunflower","cotton","crash helmet","ring tailed lemur","shrimp","mite","hognose snake","basenji","hand blower","dalmatian","partridge","metronome","envelope","tent","coelogyne","howler monkey",0.6,0.8,0.8,1,1,0.4,1,0.8,0.4,0.6,0,0.6,0.8,0.8,0.6,0.6,1,0,1,0.8,0.4,0.2,0.6,0.2,7.405,6.777,7.578,7.965,5.83,11.825,8.885,9.037,15.272,7.095,14.191,9.369,11.502,6.759,7.201,8.416,9.803,23.193,9.135,6.548,11.218,11.689,6.246,9.977,31,1,0,4,2,0.4,0,0,1,0,0,0,1,0,1,1,0,"correct","correct","correct","correct","correct","correct","correct","synonym","correct","synonym","wrong","wrong","synonym","correct","correct","wrong","correct","wrong","present","wrong","correct","correct","present","synonym","correct",0,1,1,2,0,0.625,9.70483333333333,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,13,17,19,19,0.541666666666667,0.708333333333333,0.791666666666667,0.791666666666667
"161","Somewhat trustworthy","I don't know",15,NA,2020-05-12 13:34:37,"434","True","R_2CTUWHRsoShH0BI","5ca63362b268ea00017ea6e5","784615",1989,"Female","4 year degree","5AI_nobar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","stones","brown bear","nail","cauliflower","vase","desktop computer","monkey","sunflowe","thimble","football helmet","spider monkey","shrimp","mite","snake","saint bernard","flash memory","dalmatian","quail","pencil sharpner","chest","tent","flower","howler monkey",0.8,1,0.8,0.8,1,0.8,0.8,1,0.8,1,0.6,1,0.6,1,1,0.8,0.4,0.6,1,0.6,0.6,1,1,0.6,6.601,7.513,10.065,11.201,7.02,12.566,4.494,9.924,6.53,7.654,17.952,10.549,9.293,8.825,7.819,15.6,13.725,33.436,17.476,5.168,34.23,12.863,6.42,27.254,31,1,0,4,3,0.6,0,0,0,1,0,0,1,0,1,0,1,"correct","correct","category","correct","correct","wrong","category","synonym","category","synonym","category","correct","wrong","correct","correct","category","wrong","wrong","present","wrong","wrong","wrong","present","category","correct",1,1,1,3,1,0.816666666666667,12.6740833333333,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,7,9,11,17,0.291666666666667,0.375,0.458333333333333,0.708333333333333
"162","Somewhat trustworthy","Somewhat difficult",18,NA,2020-05-12 13:36:33,"320","True","R_2YwUvJLSt8kic6Y","5d30ec10a5c3c900194c5d12","176603",1993,"Male","4 year degree","5AI_ABC","Yes","Yes","Spider Monkey","Be Specific","sea slug","swimming trunks","cliff megalith","brown bear","nails","potatoes","goblet","desktop computer","spider monkey","daisy","yarn and knitting needles","football helmet","lemur","shrimp","mite","horned viper","boxer corgi mix","trimmer","dalmation and cherry","partridge","heart and metronome","envelope","tent","coelogyne","spider monkey",1,1,0.6,0.6,1,0.2,0.8,1,1,1,0.6,0.8,0.8,1,1,0.8,0.6,0.4,1,1,0.8,0.4,0.6,0.8,6.319,10.495,11.061,4.674,4.621,9.952,7.398,7.482,6.998,8.486,15.61,12.933,8.132,11.036,5.481,10.402,19.617,13.77,8.395,5.661,7.549,7.21,21.251,17.281,27,1,1,4,4,0.72,0,0,0,0,1,0,1,0,1,0,1,"correct","correct","correct","correct","correct","wrong","correct","synonym","correct","category","wrong","correct","synonym","correct","correct","wrong","wrong","wrong","correct","wrong","correct","correct","present","synonym","wrong",0,1,0,1,0,0.783333333333333,10.0755833333333,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,13,16,17,18,0.541666666666667,0.666666666666667,0.708333333333333,0.75
"163","Somewhat untrustworthy","Somewhat easy",20,"no",2020-05-12 13:33:41,"497","True","R_2QiBtj2co6MZrS0","5e840ca50ed71516cd9426d2","512851",1991,"Female","2 year degree","5AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","swimming trunks","megalith","brown bear","nail","chickpea","goblet","desktop computer","howler monkey","gazania","thimble","football helmet","squirrel monkey","shrimp","mite","hognose snake","basenji","ax","dalmatian","partridge","cello","envelope","tent","coelogyne","howler monkey",0.8,1,0.8,1,1,0.8,0.8,0.8,1,0.8,0.6,0.8,0.8,1,0.6,0.8,0.8,0.6,1,0.8,0.6,0.8,0.8,0.4,7.606,10.23,23.38,12.284,12.466,17.471,7.942,11.835,8.091,30.97,18.439,14.108,14.232,8.68,11.659,24.165,10.424,17.261,13.634,18.337,19.08,18.861,16.115,16.529,29,0,0,2,2,0.8,0,0,1,0,0,0,1,0,1,1,0,"correct","correct","correct","correct","correct","correct","correct","synonym","wrong","correct","category","correct","category","correct","correct","wrong","correct","wrong","present","wrong","wrong","correct","present","synonym","correct",1,1,1,3,1,0.8,15.1582916666667,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,13,15,17,19,0.541666666666667,0.625,0.708333333333333,0.791666666666667
"164","Somewhat untrustworthy","Somewhat easy",5,NA,2020-05-12 13:35:50,"368","True","R_1GNy0lrakNZzoiN","5a72e36c6fc3c60001f97a9b","900396",1985,"Female","2 year degree","1AI_bar","Yes","Yes","Howler Monkey","Be Specific","sea slug","board shorts","person by megaliths","brown bear","nails","chickpea salad","blue depression glass goblet","old school computer","howler monkey","close up of a daisy","ball of twine","signed dallas cowboys helmet","squirrel monkey","fried shrimp and pasta","dust mite","hognose snake","basenji","electric brush?","cherries and a dalmatian","partridge","metranome","decorated envelope","camping tents by a badmitton net and pirate flag","coelogyne","howler monkey",1,1,0.6,1,1,0.4,1,0.8,0.8,0.8,0.6,1,0.6,1,0.8,0.8,0.8,0.2,1,0.8,1,0.8,1,0.2,8.016,6.705,11.968,4.629,8.728,11.71,16.996,9.762,6.784,6.894,10.69,11.677,10.657,12.291,6.62,6.921,7.477,18.344,14.574,6.38,7.084,11.541,16.491,19.357,35,0,0,2,2,0.2,1,0,0,0,0,0,1,1,0,1,0,"correct","synonym","correct","correct","correct","correct","correct","synonym","wrong","category","wrong","correct","category","correct","correct","wrong","correct","wrong","correct","wrong","correct","correct","present","synonym","correct",1,1,1,3,1,0.791666666666667,10.5123333333333,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,13,16,17,19,0.541666666666667,0.666666666666667,0.708333333333333,0.791666666666667
